timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
122,99.9695,104.0428,-0.0,-0.0,15.3459,55.2452,15.3459,-0.0,0.6731,0.0,0.23607,93.372,1,0,0,0,1.59825,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
123,101.72,105.5787,-0.0,-0.0,15.4122,55.4841,15.4122,0.0,0.66357,0.0,0.23271,94.908,1,0,0,0,1.60527,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
124,103.225,107.1212,-0.0,-0.0,15.4776,55.7195,15.4776,-0.0,0.65403,0.0,0.22939,96.451,1,0,0,0,1.61218,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
125,104.0623,108.6703,-0.0,-0.0,15.5421,55.9516,15.5421,-0.0,0.64468,0.0,0.22612,98.0,2,0,0,0,1.61899,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
126,105.5517,110.2257,-0.0,-0.0,15.6057,56.1804,15.6057,-0.0,0.63553,0.0,0.22289,99.555,2,0,0,0,1.62571,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
127,107.1648,111.7876,-0.0,-0.0,15.6683,56.406,15.6683,-0.0,0.62656,0.0,0.21972,101.117,2,0,0,0,1.63232,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
128,108.111,113.3556,-0.0,-0.0,15.7301,56.6283,15.7301,-0.0,0.6176,0.0,0.21658,102.685,2,0,0,0,1.63885,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
129,108.9322,114.9298,-0.0,0.0,15.791,56.8475,15.791,0.0,0.60883,0.0,0.2135,104.259,2,0,0,0,1.64527,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
130,110.5919,116.4918,0.0057,0.179,15.088,54.3168,15.0868,0.1868,-7.02972,0.03035,-0.33716,105.821,2,0,0,0,1.62983,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
131,111.3983,117.989,0.0288,0.797,14.4956,52.184,14.4904,0.386,-5.92429,0.03838,-0.2842,107.319,2,0,0,0,1.56241,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
132,112.6554,119.4286,0.0707,1.588,14.0115,50.4414,14.0004,0.5588,-4.84053,0.03529,-0.23267,108.759,2,0,0,0,1.50275,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
133,113.4455,120.8212,0.1289,2.335,13.6217,49.0382,13.6042,0.6918,-3.89774,0.02856,-0.18762,110.153,2,0,0,0,1.45381,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
134,114.9347,122.1756,0.1996,2.944,13.3103,47.917,13.2871,0.7847,-3.11456,0.02128,-0.15004,111.509,2,0,0,0,1.41431,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
135,116.2073,123.4994,0.2793,3.409,13.0588,47.0118,13.0308,0.8556,-2.51451,0.01704,-0.12112,112.835,2,0,0,0,1.3826,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
136,116.8892,124.7967,0.3528,3.365,12.7262,45.8142,12.7205,0.3806,-3.32651,-0.10444,-0.16134,114.135,2,0,0,0,1.35455,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
137,118.0533,126.0634,0.3831,1.946,12.4378,44.7761,12.4378,-0.0212,-2.8838,-0.10347,-0.13295,115.402,2,0,0,0,1.32262,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
138,118.7822,127.3045,0.3796,0.284,12.28,44.2081,12.2782,-0.2121,-1.57766,-0.05783,-0.07697,116.643,2,0,0,0,1.29642,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
139,120.0696,128.5318,0.362,-0.705,12.2311,44.0318,12.2298,-0.1786,-0.48971,3e-05,-0.02336,117.87,2,0,0,0,1.28236,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
