timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
471,80.5538,451.407,0.5181,-6.949,5.7608,20.7388,5.7342,-0.5528,-1.03936,0.06621,-0.05,442.352,12,0,0,0,0.60713,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
472,80.8636,451.9785,0.464,-6.342,5.657,20.3652,5.6357,-0.49,-1.03798,0.06291,-0.05,442.926,12,0,0,0,0.5969,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
473,81.05,452.54,0.416,-5.774,5.5533,19.9917,5.5363,-0.4342,-1.03725,0.05899,-0.05,443.489,12,0,0,0,0.58651,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
474,81.1592,453.0916,0.3735,-5.249,5.4496,19.6185,5.436,-0.3847,-1.03692,0.05483,-0.05,444.042,12,0,0,0,0.57613,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
475,81.3454,453.6332,0.3358,-4.769,5.3459,19.2452,5.335,-0.341,-1.0368,0.05068,-0.05,444.585,12,0,0,0,0.56565,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
476,81.4539,454.1647,0.3024,-4.333,5.2422,18.8719,5.2335,-0.3024,-1.03684,0.04667,-0.05,445.118,12,0,0,0,0.55505,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
477,81.6402,454.686,0.2727,-3.939,5.1385,18.4987,5.1315,-0.2685,-1.03692,0.04289,-0.05,445.64,12,0,0,0,0.54442,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
478,81.9654,455.1971,0.2464,-3.583,5.0348,18.1253,5.0292,-0.2386,-1.03702,0.03937,-0.05,446.152,12,0,0,0,0.53377,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
479,82.1519,455.6988,0.2229,-3.263,4.9679,17.8846,4.9633,-0.2138,-0.66871,0.03612,-0.03225,446.654,12,0,0,0,0.5241,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
480,82.2605,456.1946,0.2019,-2.973,4.9331,17.7593,4.9294,-0.193,-0.34801,0.03315,-0.01679,447.15,12,0,0,0,0.51796,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
481,82.4465,456.6873,0.1829,-2.709,4.9167,17.7003,4.9136,-0.1749,-0.16399,0.03042,-0.00792,447.643,12,0,0,0,0.5148,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
482,82.5551,457.1785,0.1656,-2.468,4.9108,17.6788,4.9082,-0.1588,-0.05953,0.02791,-0.00288,448.135,12,0,0,0,0.51337,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
483,82.7414,457.6694,0.15,-2.247,4.9107,17.6784,4.9085,-0.1443,-0.00124,0.02559,-7e-05,448.626,12,0,0,0,0.51297,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
484,83.0518,458.1603,0.1358,-2.045,4.9111,17.68,4.9094,-0.131,0.00435,0.02345,0.00145,449.117,12,0,0,0,0.51298,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
485,83.2382,458.6512,0.1229,-1.86,4.9119,17.6828,4.9105,-0.1188,0.00801,0.02147,0.00275,449.608,12,0,0,0,0.51307,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
486,83.347,459.1423,0.1112,-1.69,4.913,17.6869,4.9118,-0.1077,0.01123,0.01963,0.00388,450.099,12,0,0,0,0.51317,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
