timestep,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
606,Brake,fallback,1,43.09,heuristic default,1.0,1.0,1.0
607,Brake,fallback,1,43.41,heuristic default,1.0,1.0,1.0
608,Brake,fallback,1,43.73,heuristic default,1.0,1.0,1.0
609,Brake,fallback,1,44.06,heuristic default,1.0,1.0,1.0
610,KeepLane,ok,1,44.38,heuristic default,1.0,1.0,1.0
611,KeepLane,ok,1,44.71,heuristic default,1.0,1.0,1.0
612,KeepLane,ok,1,45.01,heuristic default,1.0,1.0,1.0
613,KeepLane,ok,1,45.29,heuristic default,1.0,1.0,1.0
614,KeepLane,ok,1,45.56,heuristic default,1.0,1.0,1.0
615,KeepLane,ok,1,45.8,heuristic default,1.0,1.0,1.0
616,KeepLane,ok,1,46.03,heuristic default,1.0,1.0,1.0
617,KeepLane,ok,1,46.23,heuristic default,1.0,1.0,1.0
618,KeepLane,ok,1,46.41,heuristic default,1.0,1.0,1.0
619,KeepLane,ok,1,46.58,heuristic default,1.0,1.0,1.0
620,KeepLane,ok,1,46.73,heuristic default,1.0,1.0,1.0
621,KeepLane,ok,1,46.86,heuristic default,1.0,1.0,1.0
622,KeepLane,ok,1,46.97,heuristic default,1.0,1.0,1.0
623,KeepLane,ok,1,47.06,heuristic default,1.0,1.0,1.0
624,KeepLane,ok,1,47.13,heuristic default,1.0,1.0,1.0
625,KeepLane,ok,1,47.19,heuristic default,1.0,1.0,1.0
626,KeepLane,ok,1,47.23,heuristic default,1.0,1.0,1.0
627,KeepLane,ok,1,47.25,heuristic default,1.0,1.0,1.0
628,KeepLane,ok,1,47.26,heuristic default,1.0,1.0,1.0
629,KeepLane,ok,1,47.25,heuristic default,1.0,1.0,1.0
630,KeepLane,ok,1,47.22,heuristic default,1.0,1.0,1.0
631,KeepLane,ok,1,47.18,heuristic default,1.0,1.0,1.0
632,KeepLane,ok,1,47.12,heuristic default,1.0,1.0,1.0
633,KeepLane,ok,1,47.04,heuristic default,1.0,1.0,1.0
634,KeepLane,ok,1,49.15,heuristic default,1.0,1.0,1.0
635,KeepLane,ok,1,49.04,heuristic default,1.0,1.0,1.0
636,KeepLane,ok,1,48.92,heuristic default,1.0,1.0,1.0
637,KeepLane,ok,1,48.79,heuristic default,1.0,1.0,1.0
638,KeepLane,ok,1,48.63,heuristic default,1.0,1.0,1.0
639,KeepLane,ok,1,48.47,heuristic default,1.0,1.0,1.0
640,KeepLane,ok,1,48.29,heuristic default,1.0,1.0,1.0
641,KeepLane,ok,1,48.1,heuristic default,1.0,1.0,1.0
642,KeepLane,ok,1,47.89,heuristic default,1.0,1.0,1.0
643,KeepLane,ok,1,47.67,heuristic default,1.0,1.0,1.0
644,KeepLane,ok,1,47.43,heuristic default,1.0,1.0,1.0
645,KeepLane,ok,1,47.18,heuristic default,1.0,1.0,1.0
646,KeepLane,ok,1,46.92,heuristic default,1.0,1.0,1.0
647,KeepLane,ok,1,46.65,heuristic default,1.0,1.0,1.0
648,KeepLane,ok,1,46.36,heuristic default,1.0,1.0,1.0
649,KeepLane,ok,1,46.06,heuristic default,1.0,1.0,1.0
650,KeepLane,ok,1,45.75,heuristic default,1.0,1.0,1.0
651,KeepLane,ok,1,45.43,heuristic default,1.0,1.0,1.0
652,Brake,fallback,1,45.09,heuristic default,1.0,1.0,1.0
