timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
294,259.9362,323.0695,0.0,0.0,14.8134,53.3282,14.8134,0.0,-1.03779,-0.0,-0.05,312.946,8,0,0,0,1.55631,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
295,261.649,324.5488,0.0,0.0,14.7096,52.9546,14.7096,0.0,-1.03779,-0.0,-0.05,314.426,8,0,0,0,1.54547,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
296,263.7687,326.0177,0.0,0.0,14.6058,52.581,14.6058,0.0,-1.03779,-0.0,-0.05,315.895,8,0,0,0,1.5346,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
297,265.326,327.4762,0.0,0.0,14.5021,52.2074,14.5021,0.0,-1.03779,-0.0,-0.05,317.353,8,0,0,0,1.52376,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
298,266.9401,328.9243,0.0,0.0,14.3983,51.8338,14.3983,0.0,-1.03779,-0.0,-0.05,318.801,8,0,0,0,1.51291,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
299,268.3982,330.362,0.0,0.0,14.2945,51.4602,14.2945,0.0,-1.03779,-0.0,-0.05,320.239,8,0,0,0,1.50207,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
300,269.1751,331.7894,0.0,0.0,14.1907,51.0866,14.1907,0.0,-1.03779,-0.0,-0.05,321.666,8,0,0,0,1.49123,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
301,270.7832,333.2064,0.0,0.0,14.0869,50.713,14.0869,0.0,-1.03779,-0.0,-0.05,323.083,8,0,0,0,1.48038,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
302,272.077,334.613,0.0,0.0,13.9832,50.3394,13.9832,0.0,-1.03779,-0.0,-0.05,324.49,8,0,0,0,1.46954,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
303,273.5501,336.0092,0.0,0.0,13.8794,49.9658,13.8794,0.0,-1.03779,-0.0,-0.05,325.886,8,0,0,0,1.4587,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
304,275.102,337.3858,0.0119,0.378,13.3796,48.1666,13.3696,0.5171,-4.99785,0.21424,-0.30658,327.263,8,0,0,0,1.43676,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
305,276.3866,338.712,0.0763,2.202,12.8812,46.3723,12.8274,1.1758,-4.98399,0.29036,-0.31822,328.591,8,0,0,0,1.38417,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
306,278.0605,339.9841,0.2087,5.159,12.4297,44.747,12.2809,1.9175,-4.51472,0.3189,-0.29666,329.87,8,0,0,0,1.328,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
307,279.6934,341.2019,0.4154,8.828,12.0472,43.3698,11.7505,2.6571,-3.82548,0.30734,-0.25095,331.105,8,0,0,0,1.27205,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
308,280.8724,342.3672,0.696,12.844,11.74,42.2639,11.239,3.3928,-3.07213,0.23098,-0.16562,332.303,8,1,0,0,1.21814,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
309,282.1204,343.4875,1.0406,16.724,11.6014,41.7651,10.9476,3.8396,-1.38545,0.14164,-0.07748,333.475,8,1,0,0,1.17248,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
310,283.5532,344.5821,1.4177,19.298,11.4717,41.298,10.8763,3.6475,-1.2975,-0.13536,-0.06153,334.633,8,1,0,0,1.14626,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,,,,,
311,285.1944,345.668,1.7747,19.175,11.2713,40.5768,10.8063,3.2043,-2.00345,-0.18899,-0.08827,335.776,9,1,0,0,1.13657,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
312,286.0866,346.7482,2.0824,17.166,11.0729,39.8626,10.7757,2.5483,-1.98394,-0.19926,-0.07876,336.899,9,1,0,0,1.13003,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
313,287.3965,347.8258,2.3261,14.182,10.9436,39.397,10.7667,1.9596,-1.29332,-0.18692,-0.05359,338.004,9,1,0,0,1.12685,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
314,288.9628,348.9033,2.515,11.157,10.9052,39.2588,10.7997,1.5131,-0.3839,-0.15114,-0.01777,339.098,9,1,0,0,1.12662,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
315,291.0712,349.9843,2.6622,8.625,10.9133,39.2879,10.8469,1.202,0.08089,-0.10753,0.01596,340.189,9,1,0,0,1.13007,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
316,292.9914,351.0722,2.7786,6.695,11.0275,39.6991,10.9865,0.9504,1.14215,-0.08343,0.39593,341.283,9,1,0,0,1.13751,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
317,294.6252,352.1734,2.8711,5.221,11.1446,40.1207,11.1181,0.769,1.1712,-0.05993,0.40667,342.388,9,1,0,0,1.15141,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
318,296.0336,353.2878,2.9462,4.135,11.2631,40.547,11.2451,0.6359,1.18432,-0.04259,0.41296,343.505,9,0,0,0,1.165,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
319,296.7813,354.4147,3.0084,3.348,11.3819,40.9749,11.3692,0.5371,1.18859,-0.03033,0.41562,344.634,9,0,0,0,1.1782,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
320,297.7711,355.5541,3.061,2.781,11.5006,41.4023,11.4912,0.4652,1.18712,-0.02171,0.4157,345.775,9,0,0,0,1.19113,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
321,299.0436,356.7056,3.1068,2.369,11.6187,41.8275,11.6114,0.4127,1.18104,-0.01581,0.4139,346.927,9,0,0,0,1.2038,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
322,300.4999,357.8691,3.1474,2.064,11.7358,42.2488,11.7299,0.3703,1.17033,-0.01242,0.41037,348.091,9,0,0,0,1.21632,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
323,301.8512,359.0445,3.1838,1.825,11.8515,42.6655,11.8468,0.3335,1.15748,-0.01036,0.40596,349.267,9,0,0,0,1.22866,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,,,,,
324,302.4368,360.2314,3.2165,1.627,11.9659,43.0772,11.9621,0.301,1.14358,-0.009,0.40112,350.455,10,0,0,0,1.24083,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,,,,,
325,303.9791,361.4299,3.2462,1.456,12.0789,43.484,12.0758,0.2734,1.13,-0.00771,0.39631,351.653,10,0,0,0,1.25278,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,,,,,
326,305.3897,362.6397,3.2731,1.308,12.1905,43.8857,12.1879,0.2493,1.11595,-0.00666,0.3914,352.863,10,0,0,0,1.26467,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,,,,,
327,306.875,363.8607,3.2975,1.177,12.3005,44.2819,12.2985,0.2251,1.10053,-0.00638,0.38601,354.085,10,0,0,0,1.27633,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,,,,,
328,307.8892,365.0927,3.3196,1.055,12.4091,44.6729,12.4075,0.2034,1.08622,-0.00571,0.38098,355.317,10,0,0,0,1.28787,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,,,,,
