timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
279,42.6627,287.0172,-0.0,0.0,16.1873,58.2745,16.1873,0.0,0.55161,-0.0,0.19339,277.11,8,0,0,0,1.68716,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
280,42.7719,288.6371,-0.0,0.0,16.2417,58.4701,16.2417,0.0,0.54359,-0.0,0.19063,278.73,8,0,0,0,1.69293,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
281,42.9422,290.2623,-0.0,0.0,16.2953,58.6631,16.2953,0.0,0.53596,-0.0,0.18791,280.355,8,0,0,0,1.69854,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
282,43.0352,291.8929,-0.0,0.0,16.3481,58.8533,16.3481,0.0,0.52834,-0.0,0.18523,281.986,8,0,0,0,1.70412,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
283,43.2217,293.5287,-0.0,0.0,16.4002,59.0407,16.4002,0.0,0.52071,-0.0,0.18259,283.622,8,0,0,0,1.70967,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
284,43.3145,295.1697,-0.0,0.0,16.4515,59.2255,16.4515,0.0,0.51308,0.0,0.17999,285.263,8,0,0,0,1.71505,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
285,43.5009,296.8159,-0.0,0.0,16.5021,59.4076,16.5021,0.0,0.50583,-0.0,0.17742,286.909,8,0,0,0,1.72044,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
286,43.5944,298.4671,-0.0,0.0,16.552,59.587,16.552,0.0,0.49858,-0.0,0.17489,288.56,9,0,0,0,1.72567,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
287,43.765,300.1233,-0.0,0.0,16.6011,59.7641,16.6011,0.0,0.49171,-0.0,0.1724,290.216,9,0,0,0,1.73086,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
288,43.858,301.7843,-0.0,0.0,16.6496,59.9385,16.6496,0.0,0.48447,-0.0,0.16994,291.877,9,0,0,0,1.73599,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
289,44.0441,303.4502,-0.0,0.0,16.6973,60.1104,16.6973,0.0,0.4776,-0.0,0.16752,293.543,9,0,0,0,1.74103,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
290,44.1367,305.1209,-0.0,0.0,16.7444,60.2799,16.7444,0.0,0.47073,-0.0,0.16513,295.214,9,0,0,0,1.74603,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
291,44.3229,306.7963,-0.0,0.0,16.7908,60.447,16.7908,0.0,0.46425,-0.0,0.16278,296.889,9,0,0,0,1.75094,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
292,44.4315,308.4763,0.0,0.0,16.8366,60.6117,16.8366,0.0,0.45738,-0.0,0.16046,298.569,9,0,0,0,1.75576,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
293,44.6028,310.1609,0.0,0.0,16.8817,60.774,16.8817,0.0,0.4509,-0.0,0.15817,300.254,9,0,0,0,1.76054,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
294,44.696,311.8499,0.0,0.0,16.9261,60.934,16.9261,-0.0,0.44441,-0.0,0.15592,301.943,9,0,0,0,1.76522,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
295,44.8662,313.5434,0.0,-0.0,16.9699,61.0918,16.9699,-0.0,0.43831,-0.0,0.15369,303.636,9,0,0,0,1.76985,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
296,44.9597,315.2412,0.0,0.0,17.0131,61.2472,17.0131,0.0,0.43182,0.0,0.1515,305.334,9,0,0,0,1.7744,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
297,45.1304,316.9434,0.0,-0.0,17.0557,61.4005,17.0557,0.0,0.42572,-0.0,0.14934,307.036,9,0,0,0,1.7789,0.0,"('3r0_1_', '3r0_2_', 2)",,,,,,,,
298,45.2235,318.6463,0.0,0.0,16.9519,61.0268,16.9519,0.0,-1.03798,0.0,-0.05,308.739,10,0,0,0,1.77919,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
299,45.3949,320.3394,0.0,0.0,16.8481,60.6531,16.8481,-0.0,-1.03798,-0.0,-0.05,310.432,10,0,0,0,1.76893,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
300,45.488,322.0222,0.0,0.0,16.7443,60.2795,16.7443,-0.0,-1.03798,-0.0,-0.05,312.115,10,0,0,0,1.75809,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
301,45.6585,323.6945,0.0,0.0,16.6405,59.9058,16.6405,-0.0,-1.03798,-0.0,-0.05,313.787,10,0,0,0,1.74725,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
302,45.7519,325.3565,0.0,0.0,16.5367,59.5321,16.5367,0.0,-1.03798,-0.0,-0.05,315.449,10,0,0,0,1.7364,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
